,Question,TRUE,FALSE
0,56,1,0
1,57,1,0
2,37,1,0
3,40,1,0
4,56,1,0
5,45,1,0
6,59,1,0
7,41,1,0
8,24,1,0
9,25,1,0
10,41,1,0
11,25,1,0
12,29,1,0
13,57,1,0
14,35,1,0
15,54,1,0
16,35,1,0
17,46,1,0
18,50,1,0
19,39,1,0
20,30,1,0
21,55,1,0
22,55,1,0
23,41,1,0
24,37,1,0
25,35,1,0
26,59,1,0
27,39,1,0
28,54,1,0
29,55,1,0
30,46,1,0
31,59,1,0
32,49,1,0
33,54,1,0
34,54,1,0
35,55,1,0
36,34,1,0
37,52,1,0
38,41,1,0
39,56,1,0
40,58,1,0
41,32,1,0
42,38,1,0
43,57,1,0
44,44,1,0
45,42,1,0
46,57,1,0
47,40,1,0
48,35,1,0
49,45,1,0
50,54,1,0
51,39,1,0
52,60,1,0
53,53,1,0
54,55,1,0
55,55,1,0
56,50,1,0
57,45,1,0
58,55,1,0
59,25,1,0
60,47,1,0
61,51,1,0
62,42,1,0
63,42,1,0
64,48,1,0
65,37,1,0
66,44,1,0
67,33,1,0
68,56,1,0
69,44,1,0
70,41,1,0
71,44,1,0
72,47,1,0
73,57,1,0
74,37,1,0
75,41,0,1
76,55,1,0
77,33,1,0
78,55,1,0
79,42,1,0
80,50,1,0
81,51,1,0
82,38,1,0
83,49,0,1
84,38,1,0
85,31,1,0
86,41,1,0
87,39,1,0
88,49,0,1
89,34,1,0
90,35,1,0
91,57,1,0
92,60,1,0
93,33,1,0
94,42,1,0
95,45,1,0
96,42,1,0
97,53,1,0
98,37,1,0
99,44,1,0
100,54,1,0
101,49,1,0
102,54,1,0
103,52,1,0
104,52,1,0
105,43,1,0
106,34,1,0
107,35,1,0
108,42,1,0
109,43,1,0
110,60,1,0
111,58,1,0
112,35,1,0
113,55,1,0
114,37,1,0
115,36,1,0
116,52,1,0
117,57,1,0
118,56,1,0
119,48,1,0
120,40,1,0
121,49,1,0
122,41,1,0
123,45,1,0
124,32,1,0
125,42,1,0
126,50,1,0
127,31,1,0
128,56,1,0
129,41,0,1
130,37,1,0
131,41,1,0
132,35,1,0
133,37,1,0
134,52,1,0
135,39,1,0
136,39,1,0
137,56,1,0
138,34,1,0
139,45,0,1
140,43,1,0
141,56,1,0
142,39,1,0
143,53,1,0
144,38,1,0
145,42,1,0
146,42,1,0
147,35,1,0
148,40,1,0
149,51,1,0
150,60,1,0
151,56,1,0
152,39,1,0
153,56,1,0
154,40,1,0
155,36,1,0
156,51,1,0
157,51,1,0
158,43,1,0
159,59,1,0
160,24,1,0
161,37,1,0
162,40,1,0
163,42,1,0
164,39,1,0
165,37,1,0
166,38,1,0
167,56,1,0
168,40,1,0
169,54,1,0
170,43,1,0
171,36,1,0
172,45,1,0
173,42,1,0
174,43,1,0
175,46,1,0
176,44,1,0
177,51,1,0
178,28,1,0
179,37,1,0
180,34,1,0
181,46,1,0
182,42,0,1
